No,PORTNAME
1,CITTA DEL CAPO
2,RASLAFFAN
3,ADABIYAH
4,SUN NEDERLAND
5,TARIFA
6,BREC
7,PAPEETE
8,NANAO
9,POINT NOIRE
10,KYOSHU
11,NAWILIWILI
12,FORNELLS
13,FEDERICA
14,TOROS
15,TERMISA TERMINAL
16,GUANGDONG
17,GANGAVARAM
18,ISCHIA
19,JINGTANG
20,SOUTHWOLD
21,YANGJIANG
22,CABO DE FORMENTOR
23,KARABIGA
24,GRUNDARTANGI
25,GOREBAY
26,TRISTAN DA CUNHA
27,CEBU
28,HAITI
29,KAWANOE
30,BELGIO
31,ARCANGELO
32,ISLE OF GRAIN
33,BREMA
34,HONDURAS
35,BALHAF
36,IZMIT
37,ENNORE
38,GRAYS HARBOR
39,ALBATRAX
40,ILLYCHEVSK
41,WHIFFEN HEAD
42,NANSHA
43,OSPEDALE DI TREVISO
44,PORT KEY WEST
45,SANT ANTIOCO
46,NORDENHAM
47,PORTOCEL
48,SANREMO
49,CAUCEDO
50,KAMIISO
51,IN PORTO VIZAG
52,PORTO RICO
53,BATA
54,KORSAKOV
55,LULEA
56,YANGSHAN
57,PELINTUNG
58,SAMCHEOMPO
59,ANCORATI A MAHSHAHR
60,SOHAR
61,ANCORATI IN BRASILE
62,ST FLORENT
63,STYBARROW
64,PORT TAMPA
65,CASTOS
66,LESCAS
67,CAGAYAN DE ORO
68,TONDA
69,ESCOBAR
70,VOSOSTOCHNY
71,ANCORATI A SINGAPORE
72,TANGGUH
73,IN RADA SINGAPORE
74,ALGICIRAS
75,CHITA
76,VILLA SIMUS
77,KISARAZU
78,AUGHINISH
79,USWC
80,DHAMRA
81,MOROCCO
82,CABEDELO
83,RABAOUL (PNG)
84,PORTICELLO
85,NOUACHOTT
86,BANDAR IMAN KHOMEINI
87,PRIGORODNOYE
88,RUSSIA
89,CANSO
90,PULAU LAUT
91,PORT JAIGARH
92,KHOE AL ZUBAIR
93,TEL AVIV
94,BLUFF
95,LUOYUAN
96,ALESSANDRIA
97,PORTOVESME
98,QUALTH
99,YANAI
100,PUERTO BOLIVAR
101,SEKI SAKI
102,TZUGARU STRAIT
103,JINZHOU
104,PORTOBANDAR
105,DANGJIN
106,VLISSINGEN
107,QUANZHOU
108,RAS GHARIB
109,MAURA SATUI
110,BOSASO
111,KIKEH
112,ISHIGAKI
113,TRIPLE ISLAND
114,CHANG JIANG KOU
115,PORT ALMA
116,BO HAI
117,ONNE
118,SKAW
119,SHUWAIKH
120,STRAUMSVIK
121,CROFTEN
122,FUTTSU
123,LA ROMANA - SANTO DOMINGO
124,MITSURE SHIMA
125,CAPE NORTH
126,DUNGQUAT
127,FENIT ISLAND
128,MARINA DI NORI
129,ROSARITO
130,ANIVA BAY
131,ICDAS
132,TACHIBANA
133,TABANGAO
134,ST PETERSBURG-FLORIDA
135,ASTAKOS
136,TANJUNG UBAN
137,ANCORATI IN LITUANIA
138,DALIA
139,TOKIO
140,ROMA FIUMICINO
141,ZHENJIANG
142,PUERTO ROSALES
143,PUERTO PRODECO
144,MIYAKO
145,LUOYUANG
146,CHENSHAN
147,BUENAVENTURA
148,BAYWAY
149,TOPOLOBAMPO
150,LUBUK TUTUNG
151,NIHAMA
152,UST LUGA
153,NEW AMSTERDAM
154,ACCRA
155,GARYVILLE
156,BOSFORO
157,SITRAH
158,ARKHANGELSK
159,WANDOO
160,SATTAHIP
161,GREENVILLE
162,MUSKAT
163,CAPE PALMAS
164,MUSCAT
165,PANAJI
166,CARDENAS
167,LUBA
168,HUMBER
169,TAHAROA
170,HAICHANG
171,DOMINICANA REP.
172,ILICHEVSK
173,CANCUN
174,JIAXING
175,SAMSUN
176,TOBATA
177,SAINT MARTIN
178,PENARA
179,SENIPAH
180,PORTO DI LIVORNO
181,GRATI
182,GRAMERCY
183,TAKODARI
184,KUCHING
185,CROCKETT
186,KEMEN
187,CAIRO
188,SRI RACHA
189,QIN HUANG DAO
190,MURORAN
191,REGANOSA
192,LA CASTELLA
193,GARONGKONG
194,BAJO GRANDE
195,DEASAN
196,TANJUNG SULONG
197,ABU QIR
198,CALA DI VOLPE
199,SIERRA LEONE
200,DUTCH HARBOUR
201,TANGANICA LAKE
202,NGANHURRA
203,ESCARVOS TERMINAL
204,CAPE CHARLES
205,YUM KAK NADN
206,FAVIGNANA
207,PORT FOS
208,TETNEY
209,SPORE
210,S PORE
211,WEWAK
212,LA POSSESSION
213,CORINTO
214,MARMARA
215,MILFORD HAVEN
216,CIDAEN
217,YUNG AN
218,BAIE COMEAU
219,AL FAHAL
220,MURMANAK
221,MITSUKOJIMA
222,CAPE BRETON
223,ANCORATI A NHAVA SHEVA
224,ST. HELENA
225,COCKATOO ISLAND
226,OKONO
227,TURKISH STRAIGHT
228,CAPE KUMUKAHI
229,ACORES
230,VINCENT OIL FIELD
231,ANTIGUA ISLAND
232,JOSE TERMINAL
233,CAVENAS
234,NUOVA CALEDONIA
235,PUEBLA DEL CARAMINAL
236,QINZHOU
237,ZADAR
238,DADANELLI
239,GRECIA
240,KARIMATA
241,PARADEEP
242,PUERTO ANGAMOS
243,SUEZ
244,BROFJORDEN
245,COLOSO
246,PORT JOHAR
247,BONGKOT
248,AJACCIO
249,DARU
250,VAVOUTO
251,PISCO
252,LONDON
253,BITUNG
254,PECHINO
255,TANJUNG PRIOK
256,CAPE BOLINAO
257,PECEM
258,SCIACCA
259,DEVONPORT
260,PORT CASTILLA
261,ANGSI TERMINAL
262,MARLIM
263,MATRUURA
264,FRANCE
265,BENICIA
266,GUATEMALA
267,PORT LONDON
268,KIKUMA
269,KANOKAWA
270,PORT TUPPER
271,ALASKA
272,BUNKER
273,TAP SHEK KOK
274,SANTA MARIA
275,TOCOPILLA
276,TEKKAY
277,SAULT STE MARIE
278,INCHCAPE BUOY
279,PERSIAN GULF
280,KINUURA
281,RAVVA
282,KASSIM
283,CHERRY POINT
284,MUGARDOS
285,PAPENBURG
286,QINHUANGDAO (CHINA)
287,SHIMIZU
288,TAIPEI
289,ATENE
290,DAMASCO
291,LION TERMINAL
292,ANTILLE OLANDESI
293,ANCORATI A MALTA
294,KOZMINO
295,BANDAR MASHAR
296,ARICA
297,SHIONO MISAKI
298,MILOS
299,PANJANG (INDONESIA)
300,SAN FELICE CIRCEO
301,PUNTA PATACHE
302,GUANGZHOU
303,ITAGUAI
304,PULAO BUKOM
305,TSINGELI
306,ASSAB
307,LIBREVILLE
308,BANJUL
309,TEMA
310,CONAKRY
311,MOMBASA
312,BUCHANAN
313,MONROVIA
314,MARSA EL BREGA
315,TRIPOLI
316,NOUADHIBOU
317,PORT LOUIS
318,CASABLANCA
319,TAKORADI
320,KAMSAR
321,LAMU
322,BENGHAZI
323,MISURATA
324,RAS LANUF
325,TOBRUK
326,ZUEITINA
327,ANTSIRANANA
328,NOUAKCHOTT
329,PORT LUIS
330,ALGIERS
331,ARZEW
332,LUANDA
333,LOBITO
334,COTONOU
335,DOUALA
336,ST.VINCENT
337,DZAOUDZI
338,POINTE NOIRE
339,ALEXANDRIA
340,PORT SAID
341,SUEZ CANAL
342,TANGER
343,MAPUTO
344,LUDERITZ
345,LAGOS
346,POINTE DES GALETS
347,JAMESTOWN
348,SANTO ANTONIO
349,SAO TOME
350,DAKAR
351,VICTORIA
352,FREETOWN
353,MOGADISCIO
354,PORT SUDAN
355,DAR ES SALAAM
356,ZANZIBAR
357,KPEME
358,LOME
359,TUNIS
360,BOMA
361,MATADI
362,MONTREAL
363,QUEBEC
364,TORONTO
365,VANCOUVER
366,BOSTON
367,CLEVELAND
368,DETROIT
369,WALVIS BAY
370,BALTIMORE
371,CORPUS CHRISTI
372,FREEPORT
373,GALVESTON
374,HOUSTON
375,JACKSONVILLE
376,KEY WEST
377,KODIAK
378,LONG BEACH
379,LOS ANGELES
380,PORT HARCOURT
381,POINT DES GALETS
382,KAOLACK
383,PORT VICTORIA
384,PEPEL
385,KISMAYU
386,CAPE TOWN
387,DURBAN
388,EAST LONDON
389,PORT ELIZABETH
390,RICHARDS BAY
391,SALDANHA BAY
392,SUAKIN
393,BIZERTA
394,GABES
395,SFAX
396,SOUSSE
397,LA GOULETTE
398,RADES
399,BANANA
400,ARGENTIA
401,BECANCOUR
402,GRAND BANK
403,HALIFAX
404,LIVERPOOL
405,LONG POND
406,NEW WESTMINSTER
407,PORT CARTIER
408,PRINCE RUPERT
409,SAINT JOHN N.B.
410,ST. JOHN'S
411,SEVEN ISLANDS
412,SYDNEY
413,TWILLINGATE
414,YARMOUTH
415,NORTH SYDNEY
416,ALBANY
417,ANACORTES
418,BEAUMONT
419,BELLINGHAM
420,BOCA GRANDE
421,BROWNSVILLE
422,BRUNSWICK
423,PHILADELPHIA
424,HAMILTON
425,KINGSTON
426,CHICAGO
427,DULUTH
428,EVERETT
429,GULFPORT
430,HAMPTON ROADS
431,LAKE CHARLES
432,MIAMI
433,MILWAUKEE
434,MOBILE
435,MOREHEAD CITY
436,NEW BEDFORD
437,NEW ORLEANS
438,BATON ROUGE
439,NEW YORK
440,OAKLAND
441,ORANGE
442,PALM BEACH
443,PASCAGOULA
444,PENSACOLA
445,PLYMOUTH
446,ZAMBOANGA
447,PORT EVERGLADES
448,PORTLAND
449,PROVIDENCE
450,SACRAMENTO
451,SAN DIEGO
452,SAN FRANCISCO
453,SAVANNAH
454,SEATTLE
455,TAMPA
456,VALDEZ
457,ST. PIERRE
458,ST.JOHN'S
459,ANCONA
460,ARBATAX
461,AUGUSTA
462,BARI
463,BRINDISI
464,CAGLIARI
465,CATANIA
466,CIVITAVECCHIA
467,CROTONE
468,FIUMICINO
469,FOLLONICA
470,FORMIA
471,GAETA
472,GALLIPOLI
473,GELA
474,GENOVA
475,IMPERIA
476,LA MADDALENA
477,LA SPEZIA
478,LAMPEDUSA
479,LIVORNO
480,LICATA
481,LIPARI
482,MANFREDONIA
483,MARINA DI CARRARA
484,MARSALA
485,MAZARA DEL VALLO
486,NASSAU
487,BRIDGETOWN
488,BELIZE CITY
489,MESSINA
490,MILAZZO
491,MOLFETTA
492,MONFALCONE
493,MONOPOLI
494,NAPOLI
495,OLBIA
496,ORISTANO
497,ORTONA
498,OTRANTO
499,PALERMO
500,PESARO
501,PESCARA
502,PIOMBINO
503,PORTO EMPEDOCLE
504,PORTO TORRES
505,PORTOFERRAIO
506,RAVENNA
507,REGGIO CALABRIA
508,SALERNO
509,S.BENEDETTO DEL TRON
510,SAVONA
511,SIRACUSA
512,TARANTO
513,TRAPANI
514,TRIESTE
515,VENEZIA
516,ANTWERP
517,GHENT
518,LIEGE
519,OSTEND
520,ZEEBRUGGE
521,COPENHAGEN
522,EKINCIK
523,ESBJERG
524,GRENAA
525,KALUNDBORG
526,KOGE
527,MIDDELFART
528,NAKSKOV
529,ODENSE
530,RONNE
531,SKAGEN
532,ALGECIRAS
533,ALICANTE
534,ALMERIA
535,BARCELLONA
536,BILBAO
537,CARTAGENA
538,CEUTA
539,GIJON
540,HUELVA
541,MALAGA
542,PALMA DE MAIORCA
543,SEVILLE
544,PAKISTAN
545,VALENCIA
546,VIGO
547,BRISBANE
548,DAMPIER
549,FREMANTLE
550,GLADSTONE
551,MELBOURNE
552,MUARA PORT
553,GRAND TURK
554,CHRISTIANSTED (ST CROIX)
555,FREDERIKSTED /ST.CROIX)
556,ST.THOMAS (ST.THOMAS IS.)
557,TORTOLA
558,AHUS
559,GOTHENBURG
560,HELSINGBORG
561,KARLSHAMN
562,MALMO
563,NORRKOPING
564,TUAPSE
565,BAYONNE
566,GUAYAQUIL
567,PORT KEMBLA
568,PANAMA
569,TUTICORIN
570,KUWAIT
571,SIDI KERIR
572,KAOHSIUNG
573,ROTTERDAM
574,VENTSPILS
575,SUAPE
576,SINGAPORE
577,KASHIMA
578,BALBOA
579,PORT HEDLAND
580,BUSHIRE
581,WARRI
582,SWINOUJSCIE
583,SAO SEBASTIAO
584,NANTES
585,HONOLULU
586,PONTA DELGADA
587,ANZIO
588,HODEIDAH
589,CHIBA
590,CADIZ
591,AIN SUKHNA
592,DJENO
593,FORCADOS TERMINAL
594,MOSTAGANEM
595,STANLEY
596,KARACHI
597,IMMINGHAM
598,FELIXSTOWE
599,OITA
600,VADO LIGURE
601,ANNABA
602,BETHIOUA
603,BEJAIA
604,BENI SAF
605,CHERCHELL
606,DELLYS
607,GHAZAOUET
608,JIJEL
609,ORAN
610,SKIKDA
611,TENES
612,CABINDA
613,FUTILA TERMINAL
614,LOMBO TERMINAL
615,MALONGO TERMINAL
616,NAMIBE
617,PALANCA TERMINAL
618,SOYO-KWANDA
619,TAKULA TERMINAL
620,SEME TERMINAL
621,BONABERI
622,GAROUA
623,KOLE TERMINAL
624,KRIBI
625,LIMBE
626,TIKO
627,LIMBOH TERMINAL
628,MOUDI TERMINAL
629,PORTO PRAIA
630,SAL ISLAND
631,JAKARTA
632,PENANG
633,GALLE
634,BELEM
635,PERAMA (KALAMATA)
636,KALAMATA
637,BRIXHAM
638,DOHA
639,KOPERVIK
640,ISTANBUL
641,MARSA BASHAYER
642,ILHEUS
643,LATTAKIA
644,DUBAI
645,FUKUYAMA
646,KOBE
647,EILAT
648,BAR
649,FOS
650,NAVLAKHI
651,TALBOT
652,COLOMBO
653,PORT TALBOT
654,PORT GENTIL
655,PORT OF SPAIN
656,MARSAXLOKK
657,SANTOS
658,YAMBU
659,CRISTOBAL
660,PRAIA MOLE
661,NATAL
662,NEWCASTLE (AUS)
663,APRA
664,BONNY
665,VALPARAISO
666,LISBONA
667,BUNBURY
668,ABU DHABI
669,SAN JUAN
670,CHIOGGIA
671,CALVI
672,INCHON
673,FORTALEZA
674,MANILA
675,ADEN
676,LA SKHIRA
677,VALLETTA
678,BANGKOK
679,ODESSA
680,RECIFE
681,NEMRUT BAY
682,REUNION ISLAND
683,CIENFUEGOS
684,SETE
685,HONFLEUR
686,POLA
687,ITAJAI
688,GEORGETOWN
689,PUERTO CABELLO
690,DUNKIRK
691,SANTA LUCIA
692,TIANJIN
693,PARANAGUA
694,LAZARO CARDENAS
695,MONTEVIDEO
696,CASTRIES
697,PIREO
698,ROSARIO
699,DALIAN
700,SARROCH
701,LAWE-LAWE
702,SAGUNTO
703,VITORIA
704,SUEZ
705,BRUNSBUTTEL
706,YMUIDEN
707,VISAKHAPATNAM
708,KAHULUI
709,SANTA CRUZ DE TENERIFE
710,HALDIA
711,TORRE ANNUNZIATA
712,KAKINADA
713,MONGSTAD
714,PENNINGTON
715,SABINE
716,LONGVIEW
717,SANTANDER
718,GIBILTERRA
719,SHUAIBA
720,BANIAS
721,SEPETIBA
722,FORT DE FRANCE
723,AMBURGO
724,SALVADOR
725,IQUIQUE
726,LA GUAIRA
727,RIO DE JANEIRO
728,PUERTO MONT
729,CAYENNE
730,MARSIGLIA
731,BAHIA BLANCA
732,SUVA
733,HAMBURG
734,SAN FERNANDO
735,SERIA
736,HILO
737,LYTTELTON
738,MATANZAS
739,PANAMA CANAL
740,NOVOROSSIYSK
741,AQABA
742,TENERIFE
743,AMSTERDAM
744,SENDAI
745,STORNOWAY
746,PORT KLANG
747,DJIBOUTI
748,IZMIR
749,ULSAN
750,NEW MANGALORE
751,TUBARAO
752,YOKOHAMA
753,ST. EUSTATIUS
754,MARACAIBO
755,THYSSEDAL
756,BANDAR KHOMEINI
757,LAEM CHABANG
758,KUANTAN
759,FUJAIRAH
760,FLUSHING
761,NUEVA PALMIRA
762,LAAYOUNE
763,AGADIR
764,NORFOLK
765,TURKU
766,FORT LAUDERDALE
767,SAN BENEDETTO DEL TRONTO
768,TELUK SEMANG
769,KANDLA
770,PORT OKHA
771,IGOUMENITSA
772,COCOS ISLAND
773,CASTELLON DE LA PLANA
774,SAFI
775,LA SALINA
776,COMODORO RIVADAVIA
777,ST. PETERSBURG
778,PUERTO LA CRUZ
779,LOOP TERMINAL U.S.A.
780,LAS PALMAS
781,MIRI
782,BALIKPAPAN
783,HUASCO
784,GEELONG
785,NIKISKI
786,PERANAGUA
787,ITEA
788,SAN VICENTE
789,HONG KONG
790,LA CORUNA
791,KEELUNG
792,NAGOYA
793,KEMAMAN
794,PORTO GRANDE
795,TEXAS
796,LEIXOES
797,ORINOCO RIVER
798,MOHAMMEDIA
799,BARLETTA
800,BOULOGNE
801,DARWIN
802,HAKODATE
803,WHANGAREI
804,BEIRA
805,SAN NICOLAS
806,MIZUSHIMA
807,OMISALJ
808,TURBO
809,KAWASAKI
810,CONSTANZA
811,RABAT
812,PANTELLERIA
813,ODUDU
814,VINAROZ
815,CHITTAGONG
816,HO CHI MINH
817,JEDDAH
818,BUENOS AIRES
819,TILBURY
820,PUERTO CORTES
821,ES SIDER
822,SHANGHAI
823,RAS TANURA
824,CALAIS
825,ONSAK
826,DAVAO
827,SINES
828,BARROW IS.
829,LA PLATA
830,RICHMOND
831,EL SEGUNDO
832,COCHIN
833,KETCHIKAN
834,ROSTOCK
835,SHEERNESS
836,LE HAVRE
837,HORTA
838,ISKENDERUN
839,ESCRAVOS
840,CAIRNS
841,MEDRYN
842,TAMPICO
843,RECALADA
844,TACOMA
845,OPORTO
846,FUNCHAL
847,BORDEAUX
848,FARO
849,HAMILTON
850,NIGERIA
851,JAMBI
852,NIKOLAEV
853,BRASS TERMINAL
854,PORT CRISTOBAL
855,PARAMARIBO
856,TERMOLI
857,GUAYMAS
858,JORF LASFAR
859,SURABAYA
860,ADELAIDE
861,VISAPOTNAM
862,PORT ILO
863,UMM QASR
864,RIO HAINA
865,MANAUS
866,PALAU
867,HAIFA
868,LORIENT
869,LIMASSOL
870,RAS RAYZUT
871,ESMERALDAS
872,YOSU
873,CILACAP
874,AUCKLAND
875,SUD AFRICA
876,VENEZUELA
877,NADOR
878,SPALATO
879,MATSUYAMA
880,UMM SAID
881,PUNTA DA MADEIRA
882,POHANG
883,PORTO CERVO
884,HULL
885,PERU'
886,ZAWIA
887,IMBITUBA
888,TRINCOMALEE
889,QUENFUQUENA
890,NETTUNO
891,MUKALLA
892,PONZA
893,SANTA MARTA
894,KWINANA
895,QUINTERO
896,FOYNES
897,PUNTA CARDON
898,NEWPORT
899,TARRAGONA
900,MASAWA
901,ANTOFAGASTA
902,DAMIETTA
903,DONGES
904,PORT CORTES
905,PORT MACEIO
906,PAJARITOS
907,PORTO VESME
908,PEMBROKE
909,QINGDAO
910,VIZAKAPATNAM
